masa_id,codigo_masa,producto_masa_id,producto_codigo,producto_nombre,unidades_pedidas,upq,multiplo_divisor,panesSugeridosRaw,panesSugeridosAjustado,cantidad_divisiones,multiplicador,categorias
290,MASA-OV-20260302-001,1452,PANPAQ10,"PAN ARABE CUADRADO X10",20,10,20,200,200,20,0.1000,MULTIPLO_DIVISOR
290,MASA-OV-20260302-001,1453,PANPAQ68,"PAN ARABE RECTANGULAR X5",5,5,10,25,30,10,0.3333,MULTIPLO_DIVISOR
298,MASA-OV-20260227-002,1462,PANPAQ92,"PAN PERRO GOLD MED X5",200,5,0,1000,1000,200,0.2000,SIN_CATEGORIA
298,MASA-OV-20260227-002,1463,PANPAQ80,"PAN GOLD HAMBURGUESA MED X6",200,6,0,1200,1200,200,0.1667,SIN_CATEGORIA
398,MASA-OV-20260306-002,1662,PANPAQ194,"SOURDOUGH ARANDANOS GRANDE TAJADO",5,1,10,5,10,10,1.0000,REPETICION+MULTIPLO_DIVISOR
407,MASA-OV-20260312-001-A,1675,PANPAQ157,"PAN TOSCANO CUP GRA X2",185,2,0,370,370,186,0.5027,SUBDIVISION
429,MASA-OV-20260316-001,1704,PANPAQ67,"PAN ARABE HAMBURGUESA GRA X 3",70,3,0,210,210,69,0.3286,SIN_CATEGORIA
429,MASA-OV-20260316-001,1705,PANPAQ06,"PAN ARABE SUB X 4",7,4,0,28,28,7,0.2500,SIN_CATEGORIA
433,MASA-OV-20260316-005,1710,PANPAQ168,"SOURDOUGH ARANDANOS BATARD",10,1,10,10,10,10,1.0000,MULTIPLO_DIVISOR
435,MASA-OV-20260316-007,1713,PANPAQ177,"PAN BRIOCHE HAMBURGUESA MED X6",25,6,0,150,150,25,0.1667,SIN_CATEGORIA
436,MASA-OV-20260316-008,1714,GTAPAQ01,"GALLETA AVENA Y PASAS MED",34,1,0,34,34,34,1.0000,SIN_CATEGORIA
437,MASA-OV-20260316-003-A,1715,PANPAQ155,"PAN TOSCANO MED X4",203,4,0,812,812,203,0.2500,SUBDIVISION
438,MASA-OV-20260316-003-B,1716,PANPAQ155,"PAN TOSCANO MED X4",197,4,0,788,788,192,0.2437,SUBDIVISION
439,MASA-OV-20260316-001,1717,PANPAQ06,"PAN ARABE SUB X 4",50,4,0,200,200,50,0.2500,REPETICION
441,MASA-OV-20260317-002,1735,PANPAQ16,"PAN ARABE OREGANO JUNIOR X4",32,4,0,128,128,32,0.2500,SIN_CATEGORIA
441,MASA-OV-20260317-002,1737,PANPAQ22,"PAN ARABE OREGANO CUADRADO X5 CONG",10,5,20,50,60,20,0.3333,MULTIPLO_DIVISOR
441,MASA-OV-20260317-002,1738,PANPAQ21,"PAN ARABE OREGANO CUADRADO X5",14,5,20,70,80,20,0.2500,MULTIPLO_DIVISOR
441,MASA-OV-20260317-002,1739,PANPAQ71,"PAN ARABE OREGANO JUNIOR X4 CONG",18,4,0,72,72,18,0.2500,SIN_CATEGORIA
441,MASA-OV-20260317-002,1740,PANPAQ19,"PAN ARABE OREGANO ROLLES X12 CONG",33,12,0,396,396,33,0.0833,SIN_CATEGORIA
441,MASA-OV-20260317-002,1741,PANPAQ18,"PAN ARABE OREGANO SUB X4 CONG",20,4,0,80,80,20,0.2500,SIN_CATEGORIA
441,MASA-OV-20260317-002,1750,PANPAQ01,"PAN ARABE OREGANO RECTANGULAR X5 CONG",20,5,10,100,100,20,0.2000,MULTIPLO_DIVISOR
444,MASA-OV-20260317-005,1758,PANPAQ12,"PAN ARABE INTEGRAL CUADRADO X10 CONG",3,10,0,30,30,3,0.1000,SIN_CATEGORIA
454,MASA-OV-20260317-015,1803,PASPAQ02,"TARTANA MANTENCANTO",3,1,0,3,3,3,1.0000,SIN_CATEGORIA
455,MASA-OV-20260317-016,1805,PASPAQ05,"TARTANA AMAPOLA",3,1,0,3,3,3,1.0000,SIN_CATEGORIA
456,MASA-OV-20260317-017,1807,PASPAQ04,"TARTANA NARANJA",3,1,0,3,3,3,1.0000,SIN_CATEGORIA
460,MASA-OV-20260317-021,1820,PANPAQ42,"PAN BAGUETTE AJO SUB X4",37,4,0,148,148,37,0.2500,SIN_CATEGORIA
472,MASA-OV-20260317-001-B,1841,PANPAQ13,"PAN DUNA INSTITUCIONAL ROLLES X 20 CONG",79,20,0,1580,1580,79,0.0500,SUBDIVISION
472,MASA-OV-20260317-001-B,1845,PANPAQ04,"PAN ARABE JUNIOR X 4",1,4,0,4,4,1,0.2500,SUBDIVISION
473,MASA-OV-20260317-001-C,1842,PANPAQ13,"PAN DUNA INSTITUCIONAL ROLLES X 20 CONG",79,20,0,1580,1580,79,0.0500,SUBDIVISION
473,MASA-OV-20260317-001-C,1846,PANPAQ05,"PAN ARABE JUNIOR X 4 CONG",1,4,0,4,4,1,0.2500,SUBDIVISION
474,MASA-OV-20260317-001-D,1843,PANPAQ13,"PAN DUNA INSTITUCIONAL ROLLES X 20 CONG",79,20,0,1580,1580,76,0.0481,SUBDIVISION
474,MASA-OV-20260317-001-D,1847,PANPAQ05,"PAN ARABE JUNIOR X 4 CONG",1,4,0,4,4,1,0.2500,SUBDIVISION
475,MASA-OV-20260317-001-E,1844,PANPAQ13,"PAN DUNA INSTITUCIONAL ROLLES X 20 CONG",58,20,0,1160,1160,58,0.0500,SUBDIVISION
475,MASA-OV-20260317-001-E,1848,PANPAQ05,"PAN ARABE JUNIOR X 4 CONG",10,4,0,40,40,10,0.2500,SUBDIVISION
475,MASA-OV-20260317-001-E,1849,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",39,4,0,156,156,39,0.2500,SUBDIVISION
476,MASA-OV-20260317-001-F,1850,PANPAQ26,"PAN ARTELLANO MED X 4 CONG",130,4,0,520,520,100,0.1923,SUBDIVISION
476,MASA-OV-20260317-001-F,1851,PANPAQ11,"PAN DUNA INSTITUCIONAL ROLLES X 20",17,20,0,340,340,17,0.0500,SUBDIVISION
476,MASA-OV-20260317-001-F,1852,PANPAQ06,"PAN ARABE SUB X 4",6,4,0,24,24,6,0.2500,SUBDIVISION
476,MASA-OV-20260317-001-F,1853,PANPAQ03,"PAN ARABE CUADRADO X10 CONG",4,10,0,40,40,4,0.1000,SUBDIVISION
476,MASA-OV-20260317-001-F,1856,PANPAQ25,"PAN ARTELLANO MED X 4",2,4,0,8,8,2,0.2500,SUBDIVISION
477,MASA-OV-20260317-001-G,1854,PANPAQ03,"PAN ARABE CUADRADO X10 CONG",1,10,0,10,10,2,0.2000,SUBDIVISION
477,MASA-OV-20260317-001-G,1855,PANPAQ10,"PAN ARABE CUADRADO X10",33,10,0,330,330,32,0.0970,SUBDIVISION
477,MASA-OV-20260317-001-G,1857,PANPAQ25,"PAN ARTELLANO MED X 4",102,4,0,408,408,202,0.4951,SUBDIVISION
477,MASA-OV-20260317-001-G,1858,PANPAQ69,"PAN ARABE HAMBURGUESA MED ENHARINADA X6",4,6,0,24,24,3,0.1250,SUBDIVISION
478,MASA-OV-20260317-001-H,1859,PANPAQ69,"PAN ARABE HAMBURGUESA MED ENHARINADA X6",42,6,0,252,252,42,0.1667,SUBDIVISION
479,MASA-OV-20260317-023-A,1860,PANPAQ34,"PAN AVENA ROLLES X20 CONG",48,20,0,960,960,48,0.0500,SUBDIVISION
480,MASA-OV-20260317-023-B,1861,PANPAQ34,"PAN AVENA ROLLES X20 CONG",22,20,0,440,440,22,0.0500,SUBDIVISION
481,MASA-OV-20260317-004-A,1862,PANPAQ36,"PAN BAGUETTE JUNIOR X4 RÃ“TULO CONGELACIÃ“N",128,4,0,512,512,128,0.2500,SUBDIVISION
481,MASA-OV-20260317-004-A,1863,PANPAQ38,"PAN BAGUETTE SUB X4 CONG",50,4,0,200,200,50,0.2500,SUBDIVISION
482,MASA-OV-20260317-004-B,1864,PANPAQ38,"PAN BAGUETTE SUB X4 CONG",103,4,0,412,412,103,0.2500,SUBDIVISION
