        table_name        |             column_name              |          data_type          | character_maximum_length | numeric_precision | numeric_scale | is_nullable |                    column_default                     | ordinal_position 
--------------------------+--------------------------------------+-----------------------------+--------------------------+-------------------+---------------+-------------+-------------------------------------------------------+------------------
 amasadoras               | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('amasadoras_id_seq'::regclass)                |                1
 amasadoras               | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 amasadoras               | nombre                               | character varying           |                      100 |                   |               | NO          |                                                       |                3
 amasadoras               | codigo                               | character varying           |                       50 |                   |               | YES         |                                                       |                4
 amasadoras               | capacidad_kg                         | numeric                     |                          |                10 |             2 | NO          |                                                       |                5
 amasadoras               | tipo                                 | character varying           |                       50 |                   |               | YES         |                                                       |                6
 amasadoras               | activa                               | boolean                     |                          |                   |               | YES         | true                                                  |                7
 amasadoras               | observaciones                        | text                        |                          |                   |               | YES         |                                                       |                8
 amasadoras               | created_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |                9
 amasadoras               | updated_at                           | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               10
 auditoria                | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('auditoria_id_seq'::regclass)                 |                1
 auditoria                | uuid                                 | uuid                        |                          |                   |               | NO          | uuid_generate_v4()                                    |                2
 auditoria                | tabla                                | character varying           |                       50 |                   |               | NO          |                                                       |                3
 auditoria                | registro_id                          | integer                     |                          |                32 |             0 | NO          |                                                       |                4
 auditoria                | accion                               | character varying           |                       20 |                   |               | NO          |                                                       |                5
 auditoria                | usuario_id                           | integer                     |                          |                32 |             0 | YES         |                                                       |                6
 auditoria                | usuario_nombre                       | character varying           |                      100 |                   |               | YES         |                                                       |                7
 auditoria                | datos_anteriores                     | jsonb                       |                          |                   |               | YES         |                                                       |                8
 auditoria                | datos_nuevos                         | jsonb                       |                          |                   |               | YES         |                                                       |                9
 auditoria                | cambios                              | jsonb                       |                          |                   |               | YES         |                                                       |               10
 auditoria                | ip_address                           | inet                        |                          |                   |               | YES         |                                                       |               11
 auditoria                | user_agent                           | text                        |                          |                   |               | YES         |                                                       |               12
 auditoria                | fecha                                | timestamp without time zone |                          |                   |               | YES         | CURRENT_TIMESTAMP                                     |               13
 auditoria_cambios        | id                                   | integer                     |                          |                32 |             0 | NO          | nextval('auditoria_cambios_id_seq'::regclass)         |                1
 auditoria_cambios        | uuid                                 | uuid                        |                          |                   |               | NO          | gen_random_uuid()                                     |                2
 auditoria_cambios        | tabla                                | character varying           |                      100 |                   |               | NO          |                                                       |                3
